"League","Year","Season","Type","blueTeamTag","bResult","rResult","redTeamTag","gamelength","bInhibs","bDragons","bBarons","bHeralds","rInhibs","rDragons","rBarons","rHeralds","blueTop","blueTopChamp","blueJungle","blueJungleChamp","blueMiddle","blueMiddleChamp","blueADC","blueADCChamp","blueSupport","blueSupportChamp","redTop","redTopChamp","redJungle","redJungleChamp","redMiddle","redMiddleChamp","redADC","redADCChamp","redSupport","redSupportChamp","Address"
"CBLoL","2016","Summer","Season","ITZ","1","0","RED","34","[[31.045, 'MID_LANE'], [33.246, 'TOP_LANE'], [31.568, 'BOT_LANE']]","[[31.906, 'FIRE_DRAGON'], [18.776, 'FIRE_DRAGON'], [24.983, 'EARTH_DRAGON'], [12.633, 'EARTH_DRAGON']]","[[30.441]]","[]","[]","[[6.227, 'WATER_DRAGON']]","[]","[]","Yang","Poppy","Revolta","Nidalee","tockers","Azir","micaO","Ezreal","Jockster","Bard","Ayel","Zed","YoDa SL","Gragas","Brucer","Ekko","SacyR","Sivir","Dioud","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390044?gameHash=97943c1bf70d2419"
"CBLoL","2016","Summer","Season","RED","0","1","ITZ","35","[]","[]","[[23.957]]","[]","[[33.976, 'BOT_LANE']]","[[24.848, 'EARTH_DRAGON'], [32.647, 'WATER_DRAGON'], [17.889, 'EARTH_DRAGON'], [7.404, 'WATER_DRAGON']]","[[31.633]]","[[15.036]]","Ayel","Poppy","YoDa SL","Elise","Brucer","Ekko","SacyR","Kalista","Dioud","Alistar","Yang","Trundle","Revolta","RekSai","tockers","Viktor","micaO","Sivir","Jockster","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390047?gameHash=eb5c0bdb32c88756"
"CBLoL","2016","Summer","Season","BGG","0","1","VFK","45","[]","[[18.994, 'WATER_DRAGON']]","[]","[[14.73]]","[[41.874, 'TOP_LANE'], [37.659, 'MID_LANE'], [41.304, 'BOT_LANE'], [43.586, 'MID_LANE']]","[[25.363, 'FIRE_DRAGON'], [31.936, 'AIR_DRAGON'], [12.718, 'AIR_DRAGON'], [5.915, 'WATER_DRAGON'], [39.541, 'ELDER_DRAGON']]","[[42.786], [34.128]]","[]","Ranger","Fizz","Tierwulf VPP","RekSai","Rakin VPP","Viktor","Luskka","Caitlyn","RedBert VPP","Bard","Robo","Maokai","Nappon","Nidalee","takeshi","Lissandra","esA","Sivir","Baiano","Taric","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1400066?gameHash=8fdc8115b5ef2aa9"
"CBLoL","2016","Summer","Season","VFK","1","0","BGG","38","[[33.721, 'MID_LANE'], [37.001, 'BOT_LANE'], [36.015, 'TOP_LANE']]","[[18.037, 'EARTH_DRAGON'], [26.131, 'WATER_DRAGON'], [11.203, 'FIRE_DRAGON'], [32.425, 'WATER_DRAGON']]","[[34.687], [25.221]]","[[19.7]]","[]","[]","[]","[]","Robo","Swain","Nappon","RekSai","takeshi","Lissandra","esA","Sivir","Baiano","Taric","Ranger","Maokai","Tierwulf VPP","LeeSin","Rakin VPP","Viktor","Luskka","Caitlyn","RedBert VPP","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1400075?gameHash=e8a9b00ca65c558c"
"CBLoL","2016","Summer","Season","KBM","0","1","PNG","35","[]","[[24.218, 'FIRE_DRAGON']]","[]","[]","[[32.248, 'MID_LANE']]","[[30.57, 'AIR_DRAGON'], [18.081, 'EARTH_DRAGON'], [11.788, 'EARTH_DRAGON']]","[[24.806], [33.215]]","[[19.583]]","Zantins","Poppy","Danagorn","Nidalee","Vash","Azir","Matsukaze","Sivir","Verfix","Bard","Mylon","Maokai","SirT","RekSai","Kami","Leblanc","TaeYeon","Twitch","Ziriguidun","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390071?gameHash=092fbdd0935158ba"
"CBLoL","2016","Summer","Season","PNG","1","0","KBM","33","[[32.204, 'MID_LANE'], [29.236, 'TOP_LANE']]","[[12.874, 'EARTH_DRAGON'], [25.962, 'WATER_DRAGON']]","[[30.377]]","[[13.96]]","[]","[[19.268, 'AIR_DRAGON'], [3.913, 'AIR_DRAGON']]","[]","[]","Mylon","Maokai","SirT","Nidalee","Kami","Azir","TaeYeon","Jhin","Ziriguidun","Alistar","Zantins","Ekko","Danagorn","RekSai","Vash","Viktor","Matsukaze","Caitlyn","Verfix","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390076?gameHash=641a42d27aad83ca"
"CBLoL","2016","Summer","Season","PNG","0","1","CNB","53","[[45.353, 'BOT_LANE'], [43.22, 'MID_LANE'], [50.807, 'BOT_LANE'], [50.599, 'MID_LANE']]","[[31.365, 'FIRE_DRAGON'], [18.183, 'WATER_DRAGON'], [11.209, 'FIRE_DRAGON'], [41.964, 'ELDER_DRAGON']]","[[32.155], [42.47]]","[]","[[52.295, 'TOP_LANE']]","[[24.662, 'WATER_DRAGON']]","[]","[[14.786]]","Mylon","Ekko","SirT","Nidalee","Kami","Vladimir","TaeYeon","Sivir","Ziriguidun","Soraka","LEP","Trundle","Minerva","RekSai","tinowns","Azir","pbO","Lucian","Wos","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1400215?gameHash=d92f0e26e1077190"
"CBLoL","2016","Summer","Season","CNB","0","1","PNG","37","[]","[]","[]","[]","[[32.238, 'BOT_LANE'], [36.08, 'MID_LANE'], [34.404, 'TOP_LANE']]","[[22.488, 'EARTH_DRAGON'], [9.917, 'EARTH_DRAGON'], [16.209, 'FIRE_DRAGON'], [35.442, 'ELDER_DRAGON'], [29.044, 'EARTH_DRAGON']]","[[33.789], [25.5]]","[[18.411]]","LEP","Maokai","Minerva","Olaf","tinowns","Leblanc","pbO","Sivir","Wos","Karma","Mylon","Fizz","SirT","RekSai","Kami","Swain","TaeYeon","Twitch","Ziriguidun","Nami","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1400218?gameHash=424c044fc9ee9e41"
"CBLoL","2016","Summer","Season","VFK","1","0","KBM","30","[[27.734, 'MID_LANE'], [24.491, 'BOT_LANE'], [28.512, 'TOP_LANE']]","[[18.916, 'WATER_DRAGON'], [25.073, 'FIRE_DRAGON'], [11.605, 'WATER_DRAGON']]","[[26.331]]","[[16.186]]","[]","[]","[]","[]","Robo","Ekko","Nappon","Nidalee","takeshi","Swain","esA","Lucian","Baiano","Braum","Zantins","Maokai","Danagorn","RekSai","Vash","Viktor","Matsukaze","Kalista","Verfix","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1400231?gameHash=3ba5c4efc4fa446a"
"CBLoL","2016","Summer","Season","KBM","0","1","VFK","45","[]","[[14.358, 'AIR_DRAGON'], [27.436, 'EARTH_DRAGON']]","[]","[[17.659]]","[[40.529, 'MID_LANE'], [41.277, 'TOP_LANE'], [42.051, 'BOT_LANE']]","[[42.965, 'ELDER_DRAGON'], [33.685, 'WATER_DRAGON'], [20.612, 'EARTH_DRAGON']]","[[38.329]]","[]","Zantins","Fizz","Danagorn","RekSai","Vash","Lissandra","Matsukaze","Lucian","Verfix","Braum","Robo","Ekko","Nappon","Nidalee","takeshi","Azir","esA","Ezreal","Baiano","Karma","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1400234?gameHash=1ef606bfebd9cc63"
